Path,Rewards,Score,Fuel
"[3, 3, 3, 3, 1, 0, 0, 0, 2, 2, 3, 3, 3, 2, 3, 2, 3, 0, 3, 3, 2, 1, 2, 2, 0, 0, 2, 3, 1, 3, 2, 0, 0, 0, 3, 3, 2, 0, 1, 2, 2, 2, 1, 3, 2, 2, 2, 1, 1, 3, 1, 2, 0, 0, 1, 3, 0, 3, 3, 2, 3, 1, 3, 3, 0, 3, 3, 3, 1, 0, 0, 0, 1, 2, 3, 2, 3, 2, 2, 3, 1, 0, 2, 0, 3, 1, 3, 2, 0, 3, 1, 2, 2, 1, 3, 2, 2, 3, 3, 3]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.061662641597820735, 0, 0, 0, 0, 0, 0.05783149319662402, 0, 0, 0, 0, 0, 0, 0.05415303610738823, 0.0536828127095019, 0.05322462954123495, 0, 0, 0.0519174131651165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04751143381455799, 0, 0, 0, 0, 0.045980048987170286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1228869341780905,0
"[3, 0, 3, 3, 3, 0, 2, 0, 1, 3, 2, 3, 3, 3, 1, 2, 3, 3, 0, 2, 3, 3, 3, 1, 0, 1, 1, 0, 3, 0, 3, 1, 2, 0, 3, 3, 0, 3, 2, 1, 1, 1, 3, 3, 3, 2, 0, 3, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 1, 3, 3, 3, 0, 1, 0, 1, 3, 1, 1, 0, 0, 3, 0, 3, 0, 0, 3, 3, 3, 0, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3]","[0.4082482904638631, 0, 0, 0, 0, 0, 0, 0, 0.13608276348795434, 0, 0, 0, 0, 0, 0, 0.10206207261596577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0629940788348712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.7093872054026543,0
"[3, 3, 2, 2, 3, 3, 1, 3, 1, 1, 3, 2, 3, 3, 0, 3, 3, 2, 3, 0, 3, 3, 1, 3, 1, 2, 2, 3, 1, 3, 2, 0, 3, 3, 1, 0, 3, 3, 1, 1, 3, 3, 1, 3, 1, 3, 3, 0, 0, 0, 2, 2, 1, 3, 3, 3, 3, 3, 2, 1, 2, 3, 3, 3, 0, 2, 0, 3, 1, 3, 2, 0, 2, 1, 0, 3, 3, 2, 0, 3, 3, 0, 3, 3, 2, 2, 0, 2, 3, 0, 3, 3, 3, 2, 3, 3, 2, 1, 1, 2]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0.1543033499620919, 0, 0, 0, 0, 0.11785113019775793, 0, 0, 0, 0, 0, 0.09622504486493763, 0, 0, 0, 0, 0, 0, 0, 0, 0.07856742013183861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05661385170722978, 0.056077215409204434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.2565614373317364,0
"[2, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 1, 3, 1, 3, 2, 1, 2, 3, 1, 3, 3, 3, 0, 1, 3, 2, 1, 1, 3, 0, 3, 0, 3, 2, 3, 2, 1, 3, 1, 3, 1, 3, 3, 1, 1, 1, 2, 3, 1, 3, 3, 2, 0, 3, 3, 3, 0, 2, 1, 1, 3, 1, 3, 2, 3, 3, 0, 2, 2, 2, 1, 3, 2, 3, 2, 3, 3, 2, 3, 3, 0, 3, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 1, 3, 1, 3, 3, 3]","[0, 0, 0.23570226039551587, 0.20412414523193154, 0, 0, 0, 0, 0, 0, 0, 0, 0.11396057645963795, 0, 0, 0, 0.09950371902099892, 0.09667364890456635, 0.09407208683835973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0481683050859088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.892204741936919,0
"[3, 3, 3, 3, 3, 1, 3, 2, 3, 2, 3, 3, 2, 1, 3, 0, 1, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 1, 2, 1, 2, 1, 1, 2, 3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 1, 1, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 2, 2, 2, 1, 3, 2, 3, 3]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0, 0.14586499149789456, 0, 0, 0, 0, 0, 0.10976425998969035, 0, 0, 0, 0, 0, 0.09166984970282113, 0.08944271909999159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07142857142857142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.205093816777645,0
"[1, 3, 2, 2, 3, 3, 1, 3, 3, 3, 3, 2, 2, 2, 3, 3, 2, 3, 1, 3, 3, 3, 3, 1, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 1, 3, 1, 2, 3, 3, 1, 3, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2, 2, 3, 3, 3, 3, 1, 1, 0, 3, 1, 1, 1, 2, 3, 1, 3, 1, 1, 3, 1, 2, 2, 2, 2, 1, 2, 0, 3, 2, 2, 1, 3, 3, 3, 3, 3]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0.1543033499620919, 0.14433756729740646, 0, 0, 0, 0, 0, 0.1091089451179962, 0, 0, 0, 0, 0.0936585811581694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.042601432284230495, 0, 0, 0, 0, 0, 0, 0, 0]",1.2409333008785706,0
"[3, 3, 2, 2, 2, 2, 0, 3, 3, 2, 3, 1, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 1, 2, 0, 2, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 1, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 2, 3, 0, 3, 3, 2, 3, 3, 1, 3, 1, 3, 3, 1, 3, 2, 3, 3, 3, 2, 3, 3, 1, 1, 3, 3, 3, 2, 3, 3, 2, 3]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08391813582966891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06651901052377393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.057928444636349226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9052890160484681,0
"[3, 2, 2, 2, 3, 3, 1, 3, 3, 2, 3, 3, 2, 2, 2, 3, 3, 3, 1, 1, 3, 2, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 1, 2, 2, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3]","[0.4082482904638631, 0, 0, 0, 0, 0, 0.1543033499620919, 0.14433756729740646, 0, 0, 0, 0, 0, 0, 0.10540925533894598, 0, 0, 0, 0, 0, 0, 0.08703882797784893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8993372910401563,0
"[2, 3, 3, 3, 1, 3, 2, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 0, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 0, 2, 2, 2, 3, 3, 3, 2, 3, 0, 1, 3, 3, 2, 3, 3, 0, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 3, 1, 3, 1, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 1, 3, 1, 2, 3, 3]","[0, 0, 0.23570226039551587, 0.20412414523193154, 0.18257418583505536, 0, 0, 0, 0, 0, 0, 0.11785113019775793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04745789978762495, 0, 0, 0, 0, 0.04593152121746254, 0.04564354645876384, 0.045360921162651446, 0.045083481733371615, 0.04481107149482209, 0, 0.04428074427700476]",1.0588209077919621,0
"[3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 1, 1, 2, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 1, 3, 3, 1, 1, 3, 2, 3, 2, 1, 3, 2, 2, 3, 2, 3, 1, 3, 2, 2, 3, 2, 1, 3, 2, 2, 3, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 1, 3, 3, 3, 3, 2, 2, 2, 2, 1]","[0.4082482904638631, 0.2886751345948129, 0, 0, 0, 0, 0, 0, 0, 0.13130643285972254, 0, 0, 0, 0, 0, 0, 0, 0.09712858623572641, 0, 0, 0.08980265101338746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06835859270246633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.04662524041201569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1301449282819944,0
